danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dance_style
0.581,0.429,-10.007,0.0326,0.18,0.00106,0.128,0.504,123.802,Hip Hop
0.489,0.0806,-27.124,0.0286,0.927,0.881,0.109,0.161,94.01,K-Pop
0.588,0.911,-8.401,0.171,0.252,2.57e-06,0.0711,0.259,116.074,Hip Hop
0.564,0.988,-1.205,0.0289,0.111,0.00676,0.102,0.95,130.02,K-Pop
0.626,0.682,-5.656,0.0397,0.277,0.000325,0.0985,0.636,75.02,Contemporary
0.924,0.595,-3.862,0.0583,0.0103,0.573,0.0873,0.955,125.114,Hip Hop
0.717,0.69,-7.71,0.0325,0.493,3.37e-06,0.075,0.887,100.979,Contemporary
0.647,0.686,-3.822,0.066,0.493,0.0,0.293,0.745,139.89,Salsa
0.502,0.637,-7.789,0.0308,0.608,0.0,0.166,0.854,140.367,Salsa
0.619,0.44,-10.019,0.0715,0.178,1.21e-05,0.146,0.313,130.414,Salsa
0.764,0.481,-12.857,0.0514,0.495,0.000165,0.0862,0.957,171.011,Salsa
0.477,0.807,-4.386,0.0458,0.000337,0.0,0.155,0.359,154.941,Breaking
0.703,0.618,-8.397,0.0424,0.574,0.00712,0.0505,0.835,170.537,Salsa
0.599,0.605,-7.26,0.0317,0.0232,0.729,0.172,0.145,139.952,Breaking
0.447,0.788,-4.994,0.0464,0.00257,1.68e-05,0.0744,0.505,80.04,Contemporary
0.686,0.566,-11.567,0.0496,0.159,0.0221,0.104,0.698,94.977,Contemporary
0.532,0.639,-8.823,0.0418,0.151,0.0,0.122,0.357,137.971,Hip Hop
0.402,0.187,-14.209,0.037,0.721,0.000102,0.0714,0.199,136.79,Hip Hop
0.605,0.61,-8.816,0.043,0.53,3.56e-06,0.127,0.315,118.907,Contemporary
0.596,0.786,-4.782,0.0391,0.00715,0.0,0.192,0.788,93.959,Contemporary
0.365,0.806,-8.948,0.0849,0.0518,0.52,0.135,0.388,167.383,Hip Hop
0.55,0.732,-6.88,0.105,0.0864,0.0,0.0425,0.246,153.836,Contemporary
0.546,0.382,-10.051,0.0339,0.854,1.3e-05,0.289,0.234,76.734,K-Pop
0.794,0.862,-7.384,0.183,0.0109,0.32,0.0643,0.0751,150.014,Breaking
0.542,0.924,-5.206,0.0639,0.0258,0.0,0.17,0.398,154.124,K-Pop
0.726,0.487,-8.377,0.0273,0.132,3.68e-05,0.114,0.626,126.005,Salsa
0.72,0.64,-7.577,0.0461,0.42,0.0,0.117,0.581,94.985,K-Pop
0.505,0.625,-10.484,0.0306,0.0131,0.88,0.121,0.375,174.552,Hip Hop
0.43,0.369,-7.828,0.0279,0.471,0.0,0.172,0.108,75.948,Ballet
0.666,0.868,-12.483,0.0446,0.0354,0.0113,0.0736,0.863,134.649,Breaking
0.815,0.363,-8.603,0.0354,0.137,0.0,0.157,0.636,113.99,Contemporary
0.872,0.581,-4.771,0.0593,0.289,7.72e-06,0.0787,0.691,99.948,K-Pop
0.217,0.117,-21.398,0.0374,0.975,0.911,0.0573,0.0388,46.755,Ballet
0.474,0.979,-6.13,0.048,0.00312,0.00453,0.77,0.683,157.951,Hip Hop
0.702,0.826,-7.357,0.0312,0.0345,0.00338,0.0414,0.867,112.03,Hip Hop
0.824,0.543,-8.667,0.209,0.101,0.0,0.178,0.548,124.018,Contemporary
0.564,0.782,-6.392,0.0713,0.703,0.0,0.241,0.805,87.882,Salsa
0.786,0.86,-10.904,0.0554,0.148,0.00636,0.0576,0.936,109.041,Salsa
0.561,0.711,-11.111,0.0326,0.29,0.73,0.165,0.216,111.991,Ballet
0.752,0.896,-6.18,0.0525,0.0235,0.118,0.132,0.851,118.996,Hip Hop
0.713,0.964,-8.399,0.0413,7.1e-05,0.683,0.0946,0.146,132.994,Breaking
0.748,0.856,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031,Salsa
0.566,0.683,-11.099,0.0391,0.616,0.0,0.218,0.964,81.783,K-Pop
0.626,0.647,-9.651,0.0364,0.0455,1.38e-06,0.111,0.747,91.977,Salsa
0.555,0.762,-5.972,0.0479,0.541,0.0,0.419,0.763,80.033,Salsa
0.889,0.756,-4.23,0.056,0.132,0.0,0.0996,0.918,122.905,Salsa
0.245,0.439,-13.94,0.0483,0.723,0.944,0.163,0.236,128.486,Ballet
0.726,0.52,-11.816,0.0528,0.00562,0.866,0.109,0.319,130.686,Breaking
0.417,0.0287,-25.066,0.0714,0.994,0.889,0.079,0.285,143.262,Ballet
0.322,0.582,-13.796,0.0548,0.631,8.03e-06,0.122,0.724,159.807,Salsa
0.536,0.558,-6.787,0.0293,0.119,0.0,0.0819,0.127,125.078,Breaking
0.419,0.228,-11.482,0.0758,0.902,1.88e-05,0.108,0.281,170.049,Salsa
0.791,0.424,-9.757,0.0348,0.0416,1.61e-06,0.155,0.331,106.993,Contemporary
0.549,0.875,-6.932,0.0417,0.005,0.311,0.27,0.752,128.996,Breaking
0.682,0.72,-8.176,0.0382,0.321,0.0,0.205,0.649,116.988,Ballet
